레시피명,재료,재료목록
통삼겹스테이크,"통삼겹 200g, 건로즈마리 1g, 로즈마리 2g, 올리브유 15g
곁들이채소1 : 백일송이 30g, 당근 20g, 양파 60g
곁들이채소2 : 2가지색 미니파프리카 30g, 양파 60g, 식초 15g, 설탕 1g
매쉬포테이토 : 감자 100g, 버터 10g, 우유 30g
소스 : 된장 15g, 다진마늘 15g, 다진양파 15g, 플레인요구르트 30g, 설탕 15g
고명 : 볶은현미 25g","['당근', '양파', '버터', '곁들이채소가지색미니파프리카', '올리브유', '다진마늘', '로즈마리', '식초', '매쉬포테이토감자', '설탕', '플레인요구르트', '다진양파', '건로즈마리', '우유', '통삼겹', '곁들이채소백일송이']"
저염된장 삼치구이,"•필수재료 : 삼치(140g), 치커리(35g), 전분가루(10g)
•구이소스 : 일본된장(5g), 청주(5g)
•곁들임소스 : 유자청(15g), 다진마늘(5g), 청고추(15g), 홍고추(20g)","['일본된장', '청고추', '홍고추', '전분가루', '다진마늘', '삼치', '치커리', '유자청', '청주']"
미역전복죽,"전복 100g, 찹쌀 70g, 당근 25g, 다시마 사방 10x10cm
건조 자른미역 3g, 참기름 15g, 검정깨 5g","['다시마사방', '당근', '전복', '검정깨', '찹쌀', '참기름', '건조자른미역']"
불고기미니볼,"다진소고기 40g, 다진양파 15g 빵가루 30g, 계란 60g, 밀가루 15g
식용유 200g, 단호박 25g, 감자 25g, 로즈마리 1g
양념장 : 참기름 5g, 맛간장 15g, 생강청 15g, 흰후추 1g, 다진마늘 1g, 통깨 1g
소스 : 딸기잼 30g, 오미자청 15g, 물 30g","['오미자청', '맛간장', '밀가루', '통깨', '단호박', '흰후추', '식용유', '다진마늘', '로즈마리', '감자', '다진소고기', '생강청', '다진양파빵가루', '계란']"
치자연근물김치,"연근 200g, 당근 40g, 미나리 20g, 청고추 15g, 홍고추 18g, 알마늘 12g
치자가루 15g, 생강청 30g, 식초 15g, 볶은소금 5g, 설탕 7g","['당근', '청고추', '치자가루', '볶은소금', '홍고추', '연근', '미나리', '설탕', '알마늘', '생강청', '식초']"
훈제연어롤,"훈제연어(100g), 양파(20g), 피클(20g), 후춧가루(0.02g)
- 소스 : 오렌지(30g), 오렌지 주스(20g), 설탕(10g), 레몬(10g)
물녹말(10g), 스위트칠리(20g)
- 곁들임채소 : 아스파라거스(20g), 어린잎(10g)","['오렌지', '양파', '아스파라거스', '레몬', '후춧가루', '스위트칠리', '설탕', '물녹말', '어린잎', '훈제연어', '피클', '오렌지주스']"
크림닭,"닭가슴살(120g), 우유(100g), 소금(0.5g), 후춧가루(0.02g)
밀가루(10g), 달걀(50g), 빵가루(20g), 튀김기름(100g)
양송이버섯(30g), 양파(20g), 버터(10g), 크림소스(20g)
캐슈넛(20g), 생크림(20g), 모짜렐라치즈(20g)
- 곁들임 : 어린잎(10g), 파슬리가루(0.5g)","['양파', '모짜렐라치즈', '양송이버섯', '밀가루', '버터', '튀김기름', '달걀', '빵가루', '후춧가루', '파슬리가루', '소금', '캐슈넛', '어린잎', '닭가슴살', '생크림', '우유']"
등심채소롤,"돼지등심(100g), 소금(0.3g), 후춧가루(0.05g)
파프리카(30g), 시금치(30g), 파인애플(30g), 치즈(30g)
밀가루(20g), 달걀(50g), 빵가루(30g), 튀김기름(200g)
- 소스 : 칠리소스(30g), 설탕(10g), 물녹말(녹말가루5g, 물 5g)","['파프리카', '밀가루', '튀김기름', '치즈', '달걀', '빵가루', '후춧가루', '소금', '시금치', '물녹말녹말가루', '파인애플', '설탕', '돼지등심']"
유부완자탕,"유부(50g), 두부(30g), 새우(50g), 배추(30g), 표고버섯(30g)
양파(30g), 당근(30g), 마늘(10g), 저염소금(0.5g)
후춧가루(0.05g), 미나리(20g), 육수(200g), 저염간장(20g)","['유부', '두부', '표고버섯', '양파', '당근', '후춧가루', '저염소금', '마늘', '저염간장', '육수', '새우', '미나리', '배추']"
미니밥버거,"밥패티 : 찹쌀(100g), 현미쌀(50g), 올리브오일(10g), 버터(10g)
- 소고기패티 : 다진소고기(50g), 양파(20g), 마늘(10g)
빵가루(10g), 생크림(10g), 으깬두부(20g)
소금(0.2g), 후춧가루(0.02g)
- 소스 : 마요네즈(20g), 치즈(30g), 토마토(30g)","['양파', '버터', '으깬두부', '마요네즈', '치즈', '빵가루', '후춧가루', '현미쌀', '마늘', '소금', '다진소고기', '올리브오일', '토마토', '생크림', '밥패티찹쌀']"
파프리카볶음밥,"당근(20g), 쥬키니호박(20g), 표고버섯(10g), 양송이버섯(10g)
파인애플(20g), 버터(10g), 밥(50g), 닭고기살(30g)
다진마늘(10g), 저염간장(10g), 양파(20g), 올리고당(10g)
토마토 페스트(10g), 토마토(20g), 파프리카 (50g), 달걀(30g)
모짜렐라치즈(20g), 파슬리가루(0.5g)","['당근', '표고버섯', '양송이버섯', '쥬키니호박', '버터', '양파', '파프리카', '모짜렐라치즈', '다진마늘', '달걀', '파슬리가루', '저염간장', '올리고당', '토마토페스트', '파인애플', '토마토', '닭고기살']"
리코타치즈돈가스,"돼지등심(120g), 소금(0.3g), 후춧가루(0.03g), 올리브오일(10g)
밀가루(10g), 달걀(50g), 빵가루(20g), 튀김기름(200g)
- 리코타치즈 : 우유(50g), 레몬즙(10g), 모짜렐라치즈(10g)
- 소스 : 양파(20g), 토마토(30g), 마늘(10g), 사과(20g)
케첩(20g), 돈가스소스(20g)","['양파', '모짜렐라치즈', '사과', '밀가루', '튀김기름', '달걀', '빵가루', '후춧가루', '소금', '마늘', '올리브오일', '돼지등심', '레몬즙', '우유', '토마토', '케첩']"
삼겹살부추찜,"삼겹살(150g), 생강(20g), 양파(20g), 월계수잎(3g)
통후추(5g), 소주(10g), 된장(10g), 부추(50g)
편마늘(20g), 홍고추(10g)
- 소스 : 저염간장(20g), 물(100g), 설탕(20g)
올리고당(20g), 통후추(5g), 생강(10g)
물녹말(녹말 10g, 물 10g)","['양파', '삼겹살', '홍고추', '생강', '편마늘', '된장', '부추', '물녹말녹말', '통후추', '저염간장', '올리고당', '설탕', '소주', '월계수잎']"
전복죽,"쌀(50g), 전복(50g), 새우살(20g),양송이(20g), 당근(10g)
참기름(10g), 잣(10g)
- 소스 : 저염간장(5g)","['새우살', '당근', '전복', '양송이', '저염간장', '참기름']"
오징어토마토초무침,"오징어(100g), 미나리(20g), 소금(0.3g), 토마토(50g)
양파(20g), 청고추(10g), 홍고추(10g), 대파(10g)
당근(20g), 통깨(5g)
- 양념장 : 토마토(50g), 고추장(20g), 식초(10g)
생강즙(10g), 올리고당(20g)","['양파', '청고추', '당근', '홍고추', '오징어', '통깨', '고추장', '소금', '생강즙', '올리고당', '미나리', '토마토', '대파', '식초']"
들깨칼국수,"밀가루(100g), 녹말가루(10g), 식용유(10g), 소금(0.2g)
달걀(50g), 애호박(20g), 홍고추(10g), 들깨가루(30g)
- 육수 : 건새우(10g), 멸치(20g), 양파(20g), 다시마(10g)
마늘(10g), 무(50g)","['양파', '밀가루', '홍고추', '달걀', '식용유', '멸치', '다시마', '소금', '마늘', '애호박', '녹말가루', '들깨가루', '건새우']"
소고기채소불고기,"•필수 재료 : 소불고기(120g), 배(20g), 정종(5g) 양배추(10g), 양파(10g), 깻잎(5g), 표고버섯(10g) 당근(10g), 대파(5g), 청고추(5g), 홍고추(5g)
•곁들임 채소 : 대추(10g), 통깨(1g)
•소스 : 저염간장(5g), 올리고당(5g), 참기름(2g) 다진마늘(5g), 후춧가루(0.1g)","['정종양배추', '양파', '청고추', '표고버섯당근', '홍고추', '깻잎', '통깨', '소불고기', '후춧가루', '저염간장', '올리고당', '참기름다진마늘', '대파', '대추']"
숙주라면,"홍합(20g), 숙주(50g), 청경채(20g), 청고추(5g), 홍고추(5g)
고춧가루(10g), 굴소스(10g), 라면(100g), 대파(10g)
달걀(50g),
- 육수 : 멸치(20g), 건새우(10g), 무(20g), 양파(20g)
마늘(10g)","['양파', '청고추', '청경채', '홍고추', '홍합', '달걀', '멸치', '마늘', '라면', '대파', '숙주', '건새우', '고춧가루']"
곤약냉면,"실곤약(100g), 무(20g), 식초(10g), 소금(0.2g), 설탕(10g)
홍파프리카(20g), 오이(20g), 배(20g), 달걀(30g)
- 국물 : 동치미국물(200g), 배즙(10g), 홍초(20g)
설탕(10g), 겨자(5g), 식초(10g)","['실곤약', '오이', '동치미국물', '겨자', '달걀', '소금', '홍파프리카', '설탕', '홍초', '식초', '배즙']"
과일갈비찜,"돼지갈비(150g), 홍고추(5g), 참기름(5g), 통깨(2g)
배(20g), 사과(20g), 대추(20g), 밤(10g), 오이(20g)
양파(20g), 당근(20g), 무(20g)
- 양념장 : 저염간장(20g), 올리고당(20g), 설탕(10g)
다진 마늘(20g), 다진 대파(10g), 다진 생강(5g)
후춧가루(0.03g), 소주(10g)","['사과', '양파', '당근', '홍고추', '돼지갈비', '통깨', '오이', '다진마늘', '다진생강', '후춧가루', '저염간장', '올리고당', '참기름', '다진대파', '설탕', '소주', '대추']"
토마토소스닭갈비,"닭(120g), 생강즙(10g), 소주(10g), 양파(20g), 당근(20g)
깻잎(5g), 양배추(30g), 고구마(20g),
- 소스 : 토마토(30g), 토마토소스(50g), 마늘(20g)
고춧가루(10g), 고추장(20g), 매실청(10g)","['양파', '당근', '토마토', '깻잎', '고추장', '양배추', '생강즙', '마늘', '소주', '매실청', '고구마', '고춧가루']"
골뱅이과일무침,"골뱅이(50g), 통깨(2g), 당근(20g), 양파(20g), 양배추(20g)
깻잎(10g), 대파(10g), 홍고추(5g), 청고추(5g), 황도(20g)
배(20g), 사과(20g), 바나나(20g), 파인애플(20g)
- 양념장 : 고추장(20g), 고춧가루(20g), 다진 마늘(10g)
케첩(20g), 설탕(20g), 식초(10g), 매실액(10g)
생강즙(5g), 참기름(5g)","['양파', '사과', '홍고추', '양배추', '매실액', '생강즙', '참기름', '대파', '식초', '깻잎', '고추장', '설탕', '파인애플', '황도', '케첩', '바나나', '당근', '청고추', '통깨', '다진마늘', '골뱅이', '고춧가루']"
두유 마 떡갈비,"소고기(120g), 돼지고기(120g), 떡볶이떡(100g), 흑미(20g),
현미(20g), 백미(20g), 조(10g), 애호박(1/4개), 당근(20g),
토마토(150g), 양송이버섯(20g), 양파(30g), 마늘(10g),
달걀(1개), 시금치(30g), 설탕(20g), 소금(0.2g), 저염간장(20g),
참기름(5g)","['당근', '양파', '흑미', '양송이버섯', '달걀', '백미', '마늘', '시금치', '돼지고기', '떡볶이떡', '설탕', '소금', '소고기', '애호박', '토마토', '저염간장', '참기름', '현미']"
떡갈비와 미니잡곡밥,"소고기(120g), 돼지고기(120g), 떡볶이떡(100g), 흑미(20g),
현미(20g), 백미(20g), 조(10g), 애호박(1/4개), 당근(20g),
토마토(150g), 양송이버섯(20g), 양파(30g), 마늘(10g),
달걀(1개), 시금치(30g), 설탕(20g), 소금(0.2g), 저염간장(20g),
참기름(5g)","['당근', '양파', '흑미', '양송이버섯', '달걀', '백미', '마늘', '시금치', '돼지고기', '떡볶이떡', '설탕', '소금', '소고기', '애호박', '토마토', '저염간장', '참기름', '현미']"
리코타소스 연어샐러드,"연어(100g), 토마토(100g), 우유(200g), 레몬(1/4개),
파인애플(50g), 아보카도(1/4개), 오이(20g), 오렌지(1/2개),
어린잎(20g), 소금(0.3g)","['오렌지', '오이', '레몬', '아보카도', '소금', '파인애플', '어린잎', '토마토', '우유', '연어']"
망고무스케이크와 마카롱,"달걀(1개), 아몬드(30g), 레몬(1/4개), 망고퓨레(20g), 버터(20g),
생크림(20g), 우유(50g), 물엿(50g), 소금(0.2g), 설탕(20g),
판젤라틴(1장)","['판젤라틴', '버터', '달걀', '레몬', '물엿', '소금', '망고퓨레', '설탕', '생크림', '우유', '아몬드']"
망고자몽드레싱 해산물전체,"관자(2개), 새우(4마리), 방울토마토(2개), 생크림(50g),
파슬리(5g), 당근(30g), 오이(50g), 단호박(1/4개), 브로콜리(30g),
감자(50g), 망고(1/2개), 레몬(1/4개), 자몽(1/2개), 설탕(10g),
소금(0.1g)","['당근', '오이', '단호박', '레몬', '자몽', '파슬리', '관자', '소금', '방울토마토', '감자', '새우', '망고', '설탕', '생크림', '브로콜리']"
머쉬룸 닭스테이크,"닭고기(1마리), 당근(20g), 양파(20g), 단호박(1/4개), 미니
양배추(5개), 새송이버섯(1개), 느타리버섯(20g), 버터(10g),
소금(0.3g), 후춧가루(0.02g), 발사믹소스(100g),
올리브오일(20g)","['당근', '양파', '버터', '단호박', '후춧가루', '양배추', '소금', '미니', '새송이버섯', '닭고기', '올리브오일', '느타리버섯']"
미역소스와 타르타르,"관자(2개), 새우(3마리), 미역(20g), 새송이버섯(1개),
시금치(30g), 토마토(50g), 마늘(10g), 블랙올리브(3알),
메추리알(5개), 레몬(1/4개), 두유(100g), 생크림(50g),
우유(200g)","['두유', '레몬', '미역', '관자', '시금치', '마늘', '생크림', '새송이버섯', '새우', '토마토', '블랙올리브', '우유', '메추리알']"
발사믹소스를 곁들인 오리스테이크,"오리고기(가슴살, 120g), 당근(20g), 토마토(100g),
새송이버섯(1개), 표고버섯(1개), 감자(50g), 아스파라거스(2개),
소금(0.2g), 후추(0.01g), 올리브오일(10g), 발사믹소스(100g)
양파(20g)","['아스파라거스', '당근', '표고버섯', '양파', '오리고기가슴살', '소금', '감자', '새송이버섯', '올리브오일', '후추', '토마토']"
방울토마토를 곁들인 너비아니구이와 쌈밥,"소고기(120g), 흑미(100g), 아스파라거스(3개), 감자(50g),
당근(20g), 사과(1/2개), 양송이버섯(5개), 방울토마토(5개),
깻잎(3장), 배(1/4개), 브로콜리(30g), 마늘(20g), 설탕(10g),
저염간장(10g), 참기름(2g)","['아스파라거스', '당근', '사과', '흑미', '양송이버섯', '깻잎', '마늘', '저염간장', '감자', '방울토마토', '설탕', '참기름', '소고기', '브로콜리']"
배차와 주악,"쌀가루(100g), 밀가루(100g), 막걸리(100g), 배(1/2개),
통후추(20알), 꿀(100g), 생강(20g), 식용꽃(20g), 계피(10g),
설탕(50g)","['쌀가루', '계피', '밀가루', '생강', '통후추', '막걸리', '설탕', '식용꽃']"
배추관자카나페,"관자(2개), 배춧잎(6장), 파프리카(1/2개), 레몬(1/2개),
고추장(20g), 매실액(10g), 설탕(20g), 소금(5g), 파슬리(5g)","['배춧잎', '레몬', '고추장', '파슬리', '관자', '매실액', '소금', '설탕', '파프리카']"
버섯과 두부 비프웰링턴,"소고기(안심, 120g), 두부(50g), 양송이버섯(3개), 양파(30g),
당근(20g), 단호박(1/2개), 가지(1/2개), 감자(50g), 깻잎(3장),
마늘(20g), 버터(20g), 밀가루(100g), 달걀(1개), 소금(0.3g)","['두부', '양파', '양송이버섯', '당근', '버터', '밀가루', '깻잎', '단호박', '달걀', '가지', '마늘', '소금', '감자', '소고기안심']"
복분자소스를 곁들인 닭테린,"닭고기(가슴살, 200g), 시금치(30g), 브로콜리(30g),
토마토(100g), 고구마(100g), 아스파라거스(3개), 복분자(20g),
새송이버섯(1개), 마늘(20g), 치즈(1장), 전분(20g), 소금(0.2g),
후춧가루(0.01g)","['아스파라거스', '치즈', '전분', '후춧가루', '복분자', '시금치', '마늘', '소금', '새송이버섯', '토마토', '브로콜리', '고구마', '닭고기가슴살']"
관자버터구이,"관자(2개), 시금치(30g), 비트(20g), 양파(30g), 오이피클(20g),
고추피클(20g), 마요네즈(20g), 꿀(20g), 버터(10g)","['고추피클', '양파', '비트', '버터', '마요네즈', '오이피클', '관자', '시금치']"
세 가지 미니 에피타이저,"연어(훈제연어, 120g), 새우(3마리), 애호박(1/2개), 사과(1/4개),
오렌지(1/4개), 레몬(1/4개), 석류주스(200g), 판젤라틴(1장)","['오렌지', '사과', '판젤라틴', '연어훈제연어', '레몬', '석류주스', '새우', '애호박']"
식혜양갱과 수박증편,"엿기름(100g), 밥(50g), 미숫가루(50g), 막걸리(50g),
대추(3알), 잣(10g), 백년초(30g), 밀가루(20g),
찹쌀가루(200g), 버터(10g), 설탕(100g), 한천(10g)","['엿기름', '밀가루', '버터', '한천', '미숫가루', '막걸리', '설탕', '백년초', '대추', '찹쌀가루']"
수박비빔국수와 수박고추장소스,"다슬기살 20g, 호박잎 20g , 부추 15g, 달걀 15g, 물 300g, 된장 8g, 국멸치 5g, 건다시마 2.5g, 파 5g, 다진 마늘 5g","['건다시마', '달걀', '부추', '된장', '다진마늘', '국멸치', '다슬기살', '호박잎']"
미숫가루 부추전,"부침가루 30g, 미숫가루 10g, 오징어 20g, 부추 20g, 감자 15g, 당근 5g, 양파 5g, 현미유 4g, 소금 0.5g, 물 60g","['부침가루', '당근', '양파', '오징어', '부추', '미숫가루', '소금', '감자', '현미유']"
애호박장떡말이밥,"밥 100g, 애호박 25g, 양파 10g, 풋고추 5g, 고추장 15g, 우리밀가루 50g, 물 50g, 현미유 1.5g,흑임자 1g, 참기름 1g, 소금 0.2g","['양파', '고추장', '우리밀가루', '흑임자', '소금', '참기름', '애호박', '현미유', '풋고추']"
봄나물주먹밥,"쌀 70g, 취나물 20g, 고사리 20g, 빨강파프리카 5g, 노랑파프리카 5g, 참기름 3g, 다진 마늘 1g, 소금 0.7g, 통깨 0.5g","['통깨', '다진마늘', '노랑파프리카', '소금', '참기름', '빨강파프리카', '취나물', '고사리']"
달래두부김치무침,"두부 40g, 달래 10g, 배추김치 20g, 홍피망 2g, 다진 파 2.5g , 다진 마늘 2.5g, 설탕 1g, 참기름 1g, 통깨 0.5g, 고춧가루 0.5g, 소금 0.2g","['두부', '배추김치', '홍피망', '통깨', '다진마늘', '고춧가루', '소금', '참기름', '설탕', '달래', '다진파']"
딸기소스닭가슴살채소무침,"닭가슴살 50g, 방울토마토 20g, 양상추 15g, 브로콜리 10g, 적채 5g, 노랑 파프리카 3g, 빨강 파프리카 3g, 호상요구르트 50g, 딸기 40g, 호두 2g, 소금 0.5g","['호상요구르트', '양상추', '노랑파프리카', '딸기', '호두', '소금', '적채', '방울토마토', '빨강파프리카', '닭가슴살', '브로콜리']"
쑥호두달걀말이,"달걀 50g, 쑥 3g, 당근 3g, 호두 2g, 현미유 1g, 소금 0.3g","['당근', '달걀', '호두', '소금', '현미유']"
시래기리조또,"무청시래기 불린 것 50g , 밥 180g, 된장 18g, 다진 마늘 2.5g, 생강즙 1.25g, 포도씨유, 12g, 생크림 30g, 버터 3g","['버터', '다진마늘', '된장', '생강즙', '무청시래기불린것', '생크림', '포도씨유']"
생과일과가자미까나페,"식빵 40g, 딸기 30g, 참다래 30g, 가자미살 20g, 크래커 15g , 마요네즈 9g, 양파 10g","['식빵', '양파', '마요네즈', '참다래', '딸기', '크래커', '가자미살']"
꽃게살국,"꽃게 70g(꽃게살 30g), 양배추 20g, 토마토 20g, 된장 6g, 파 5g, 건다시마 3g, 다진 마늘 2.5g, 물 200g","['건다시마', '다진마늘', '된장', '양배추', '꽃게', '토마토']"
우엉들깨무침,"•필수재료 : 우엉(25g), 파(2g), 물(300g)
•양념 : 들깻가루(2g), 다진마늘(2g), 들기름(1g), 간장(3g)","['우엉', '다진마늘', '들기름', '들깻가루', '간장']"
새우두부만두,"칵테일 새우 50g, 두부 80g, 부추 10g, 표고버섯, 8g, 소금 1g, 후추 0.25g, 만두피 75g, 간장 1.5g, 식초 0.75g, 물 5g, 고춧가루 0.4g","['두부', '표고버섯', '만두피', '부추', '소금', '후추', '간장', '칵테일새우', '식초', '고춧가루']"
마마무스프,"무(50g), 마(50g), 우유(50g), 생크림(20g), 시금치(30g)
대파(10g), 양파(20g), 육수(50g), 소금( 0.2g), 버터(10g","['양파', '버터', '생크림', '시금치', '소금', '육수', '대파', '우유']"
단호박리조또,"현미(100g), 단호박(100g), 양송이버섯(20g), 양파(20g)
버터(20g), 우유(30g), 설탕(10g), 단호박가루(20g)
생크림(20g), 요거트(10g)
- 곁들임 : 캐슈넛(20g), 아몬드(20g), 어린잎(10g)","['양파', '아몬드', '양송이버섯', '버터', '단호박', '단호박가루', '캐슈넛', '설탕', '어린잎', '생크림', '우유', '현미', '요거트']"
토마토떡볶이,"떡볶이떡(100g), 어묵(20g), 양파(20g), 당근(20g)
표고버섯(20g), 양배추(20g), 대파(20g), 육수(100g)
- 소스 : 고추장(20g), 케첩(20g), 올리고당(20g), 다진마늘(10g)
토마토(100g), 사과(20g), 버터(10g)","['양파', '표고버섯', '당근', '사과', '버터', '어묵', '다진마늘', '고추장', '양배추', '올리고당', '떡볶이떡', '육수', '케첩', '토마토', '대파']"
소고기채소볶음,"소고기등심(150g), 소금(0.3g), 후춧가루(0.3g)
올리브오일(10g), 브로컬리(30g), 양파(20g), 당근(20g)
토마토(30g), 파프리카(30g), 식용유(10g)
- 소스 : 포도주스(50g), 올리고당(10g), 칠리소스(50g)","['양파', '당근', '파프리카', '후춧가루', '식용유', '소고기등심', '소금', '포도주스', '올리고당', '올리브오일', '토마토', '브로컬리']"
양송이크림볶음밥,"닭고기살(50g), 양송이(60g), 떡볶이떡(20g), 양파(20g)
당근(30g), 소금(0.2g), 버터(10g), 밥(100g), 육수(50g)
우유(50g), 생크림(10g), 치즈(10g)","['양파', '당근', '버터', '치즈', '양송이', '소금', '떡볶이떡', '육수', '생크림', '우유', '닭고기살']"
해물우동볶음,"새우(20g), 오징어(20g), 조개살(20g), 양배추(20g)
파프리카(20g), 청경채(20g), 당근(20g), 양파(20g)
저염버터(10g), 우동(100g), 굴소스(20g), 칠리소스(30g)
가쯔오부시(5g)","['당근', '양파', '청경채', '오징어', '저염버터', '조개살', '양배추', '우동', '가쯔오부시', '새우', '파프리카']"
단호박닭꼬치,"닭다리살(120g), 우유(20g), 소금(0.3g), 후춧가루(0.05g)
떡볶이떡(30g), 단호박(50g), 양파(20g), 대파(20g), 꼬치(3개)
- 소스 : 고추장(20g), 다진마늘(20g), 다진양파(20g), 케첩(20g)
올리고당(20g)","['양파', '닭다리살', '단호박', '고추장', '후춧가루', '꼬치', '다진마늘', '소금', '올리고당', '떡볶이떡', '케첩', '다진양파', '대파', '우유']"
떡갈비콩나물밥,"쌀(100g), 콩나물(100g),표고버섯(20g), 브로컬리(20g)
- 김치떡갈비 : 다진 소고기(50g), 배(10g), 맛술(10g)
설탕(10g), 저염간장(10g), 대파(10g)
마늘(10g), 참기름(5g), 통깨(2g), 김치(20g)
떡볶이떡(20g), 후춧가루(0.02g)","['표고버섯', '통깨', '후춧가루', '맛술', '저염간장', '마늘', '참기름', '떡볶이떡', '다진소고기', '설탕', '콩나물', '대파', '브로컬리', '김치']"
크림치즈떡볶이,"떡볶이떡(100g), 펜네(20g), 양파(20g), 버터(10g)
밀가루(10g), 육수(100g), 생크림(20g), 우유(50g)
모짜렐라치즈(30g), 파슬리가루(0.3g)","['양파', '모짜렐라치즈', '밀가루', '버터', '펜네', '파슬리가루', '떡볶이떡', '육수', '생크림', '우유']"
목살스테이크,"돼지목살(120g), 생강(5g), 로즈마리(2g), 소금(0.3g)
후춧가루(0.1g), 칠리소스(20g), 케첩(20g), 포도주스(100g)
양파(20g), 마늘(10g), 버터(10g), 브로컬리(20g), 당근(20g)
적채(20g), 샐러리(20g)","['양파', '당근', '버터', '생강', '후춧가루', '로즈마리', '돼지목살', '소금', '포도주스', '마늘', '적채', '케첩', '브로컬리', '샐러리']"
치킨완자스프,"버터(20g), 밀가루(20g), 육수(100g), 생크림(20g)
브로컬리(30g), 우유(100g), 닭고기살(100g), 대추(20g)
표고버섯(20g), 당근(20g), 마늘(10g), 양파(20g)
소금(0.3g), 후춧가루(0.05g), 참기름(5g)","['당근', '표고버섯', '양파', '밀가루', '버터', '우유', '대추', '후춧가루', '마늘', '소금', '육수', '참기름', '생크림', '브로컬리', '닭고기살']"
돼지고기말이튀김,"돼지등심(100g), 소금(0.3g), 후춧가루(0.02g), 깻잎(10g)
당근(20g), 청피망(20g), 양파(20g), 치즈(30g), 밀가루(20g)
달걀(50g), 빵가루(20g), 튀김기름(400g)
- 튀김소스 : 마요네즈(20g), 두부(30g), 생크림(20g)
요구르트(20g), 설탕(10g), 머스터드(20g)
- 곁들임 : 어린잎(10g)","['양파', '두부', '튀김기름', '치즈', '생크림', '깻잎', '청피망', '달걀', '후춧가루', '빵가루', '설탕', '요구르트', '밀가루', '돼지등심', '당근', '마요네즈', '머스터드', '소금', '어린잎']"
단호박피자,"다진 소고기(20g), 다진 마늘(10g), 소금(0.2g)
후춧가루(0.02g), 맛술(10g), 미니단호박(120g), 생크림(20g)
양송이(20g), 양파(20g), 당근(20g), 청피망(20g)
파프리카(20g), 베이컨(20g), 햄(20g), 올리브오일(10g)
모짜렐라치즈(20g), 파슬리가루(0.5g)","['양파', '당근', '베이컨', '모짜렐라치즈', '다진마늘', '청피망', '후춧가루', '맛술', '미니단호박', '파슬리가루', '양송이', '소금', '다진소고기', '올리브오일', '파프리카', '생크림']"
L..A갈비구이,"L.A갈비(200g), 배(20g), 양파(20g)
- 양념 : 저염간장(20g), 월계수잎(5g), 통후추(5g)
올리고당(20g), 정종(10g), 설탕(10g), 매실액(10g)
대파 다진것(20g), 다진 마늘(20g), 참기름(3g)
통깨(5g)","['양파', '정종', '다진마늘', '통깨', '통후추', '저염간장', '월계수잎', '올리고당', '매실액', '설탕', '참기름', '대파다진것', '갈비']"
닭고기파스타,"마늘(20g), 양파(20g), 양송이버섯(30g), 버터(10g)
스파게티(70g), 올리브오일(5g), 모짜렐라치즈(20g)
- 닭가슴살 : 닭살(100g), 소금(0.2g), 후춧가루(0.02g)
밀가루(20g)
- 소스 : 토마토(40g), 토마토소스(20g), 올리고당(10g)
굴소스(5g), 육수(100g), 우유(100g)","['양파', '모짜렐라치즈', '양송이버섯', '버터', '밀가루', '닭살', '후춧가루', '마늘', '소금', '올리고당', '육수', '올리브오일', '스파게티', '우유', '토마토']"
동글동글도넛,"소고기(100g), 돼지고기(100g), 토마토(50g), 양파(30g),
찹쌀가루(50g), 달걀(1개), 순두부(20g), 유자청(20g),
소금(0.2g), 후춧가루(0.01g)","['양파', '달걀', '후춧가루', '소금', '돼지고기', '소고기', '토마토', '순두부', '유자청', '찹쌀가루']"
된장크림소스 잡곡 오므라이스,"찹쌀(50g), 보리(20g), 율무(20g), 은행(3알), 팥(20g),
대추(3알), 호박(1/4개), 홍피망(20g), 청피망(20g), 양파(30g),
표고버섯(1개), 부추(20g), 마늘(10g), 달걀(1개), 전분(10g),
된장(20g), 로즈마리(0.2g), 생크림(50g)","['양파', '표고버섯', '보리', '홍피망', '청피망', '찹쌀', '부추', '달걀', '된장', '로즈마리', '마늘', '생크림', '호박', '은행', '전분', '율무', '대추']"
두릅부추 소고기말이,"소고기(홍두깨살, 100g), 부추(30g), 양파(30g), 두릅(50g),
대파(20g), 마늘(20g), 저염간장(30g), 후춧가루(0.01g)","['양파', '소고기홍두깨살', '부추', '후춧가루', '두릅', '마늘', '저염간장', '대파']"
두부 비빔호박쌈,"두부(150g), 쌀(100g), 강황쌀(100g), 당근(20g),
애호박(1/2개), 숙주(50g), 고사리(20g), 호박잎(5장),
파인애플(20g), 올리고당(20g), 고추장(20g), 저염간장(10g),
소금(0.3g)","['두부', '당근', '고추장', '저염간장', '올리고당', '소금', '파인애플', '애호박', '호박잎', '숙주', '고사리', '강황쌀']"
두부곤약파스타,"곤약(50g), 두부(150g), 배(1/4개), 양파(30g), 파프리카(50g),
양배추(20g), 적양배추(20g), 토마토(50g), 저염간장(20g),
설탕(10g), 식초(10g)","['두부', '양파', '양배추', '저염간장', '식초', '적양배추', '곤약', '설탕', '파프리카', '토마토']"
두유 라이크 파스타,"스파게티(100g), 양파(30g), 베이컨(20g), 새송이버섯(1개),
브로콜리(50g), 홍고추(1개), 두유(200g), 견과류(20g),
치즈(1장), 올리브오일(10g)","['양파', '베이컨', '두유', '홍고추', '치즈', '견과류', '새송이버섯', '올리브오일', '스파게티', '브로콜리']"
